chapter,verse,text
2,21,So the Lord God caused the man to fall into a deep sleep and while he was sleeping he took one of the man's ribs and then closed up the place with flesh.
2,22,Then the Lord God made a woman from the rib he had taken out of the man and he brought her to the man.
2,23,The man said This is now bone of my bones and flesh of my flesh she shall be called woman for she was taken out of man.
2,24,That is why a man leaves his father and mother and is united to his wife and they become one flesh.
2,25,Adam and his wife were both naked and they felt no shame.
3,1,Now the serpent was more crafty than any of the wild animals the Lord God had made. He said to the woman Did God really say You must not eat from any tree in the garden?
3,2,The woman said to the serpent We may eat fruit from the trees in the garden.
3,3,But God did say You must not eat fruit from the tree that is in the middle of the garden and you must not touch it or you will die.
3,4,You will not certainly die the serpent said to the woman.
3,5,For God knows that when you eat from it your eyes will be opened and you will be like God knowing good and evil.
3,6,When the woman saw that the fruit of the tree was good for food and pleasing to the eye and also desirable for gaining wisdom she took some and ate it. She also gave some to her husband who was with her and he ate it.
3,7,Then the eyes of both of them were opened and they realized they were naked so they sewed fig leaves together and made coverings for themselves.
3,8,Then the man and his wife heard the sound of the Lord God as he was walking in the garden in the cool of the day and they hid from the Lord God among the trees of the garden.
3,9,But the Lord God called to the man Where are you?
3,10,He answered I heard you in the garden and I was afraid because I was naked so I hid.
3,11,And he said Who told you that you were naked? Have you eaten from the tree that I commanded you not to eat from?
3,12,The man said The woman you put here with me she gave me some fruit from the tree and I ate it.
3,13,Then the Lord God said to the woman What is this you have done? The woman said The serpent deceived me and I ate.
3,14,So the Lord God said to the serpent Because you have done this cursed are you above all livestock and all wild animals! You will crawl on your belly and you will eat dust all the days of your life.
3,15,And I will put enmity between you and the woman and between your offspring and hers he will crush your head and you will strike his heel.
3,16,To the woman he said I will make your pains in childbearing very severe with painful labor you will give birth to children. Your desire will be for your husband and he will rule over you.
3,17,To Adam he said Because you listened to your wife and ate fruit from the tree about which I commanded you cursed is the ground because of you through painful toil you will eat food from it all the days of your life.
3,18,It will produce thorns and thistles for you and you will eat the plants of the field.
3,19,By the sweat of your brow you will eat your food until you return to the ground since from it you were taken for dust you are and to dust you will return.
3,20,Adam named his wife Eve because she would become the mother of all the living.
3,21,The Lord God made garments of skin for Adam and his wife and clothed them.
3,22,And the Lord God said The man has now become like one of us knowing good and evil. He must not be allowed to reach out his hand and take also from the tree of life and eat and live forever.
3,23,So the Lord God banished him from the Garden of Eden to work the ground from which he had been taken.
3,24,After he drove the man out he placed on the east side of the Garden of Eden cherubim and a flaming sword flashing back and forth to guard the way to the tree of life.
4,1,Adam made love to his wife Eve and she became pregnant and gave birth to Cain. She said With the help of the Lord I have brought forth a man.
4,2,Later she gave birth to his brother Abel. Now Abel kept flocks and Cain worked the soil.
4,3,In the course of time Cain brought some of the fruits of the soil as an offering to the Lord.
4,4,And Abel also brought an offering fat portions from some of the firstborn of his flock. The Lord looked with favor on Abel and his offering.
4,5,But on Cain and his offering he did not look with favor. So Cain was very angry and his face was downcast.
4,6,Then the Lord said to Cain Why are you angry? Why is your face downcast?
4,7,If you do what is right will you not be accepted? But if you do not do what is right sin is crouching at your door it desires to have you but you must rule over it.
4,8,Now Cain said to his brother Abel Let's go out to the field. While they were in the field Cain attacked his brother Abel and killed him.
4,9,Then the Lord said to Cain Where is your brother Abel? I don't know he replied. Am I my brother's keeper?
4,10,The Lord said What have you done? Listen! Your brother's blood cries out to me from the ground.
4,11,Now you are under a curse and driven from the ground which opened its mouth to receive your brother's blood from your hand.
4,12,When you work the ground it will no longer yield its crops for you. You will be a restless wanderer on the earth.
4,13,Cain said to the Lord My punishment is more than I can bear.
4,14,Today you are driving me from the land and I will be hidden from your presence I will be a restless wanderer on the earth and whoever finds me will kill me.
4,15,But the Lord said to him Not so anyone who kills Cain will suffer vengeance seven times over. Then the Lord put a mark on Cain so that no one who found him would kill him.
4,16,So Cain went out from the Lord's presence and lived in the land of Nod east of Eden.
4,17,Cain made love to his wife and she became pregnant and gave birth to Enoch. Cain was then building a city and he named it after his son Enoch.
4,18,To Enoch was born Irad and Irad was the father of Mehujael and Mehujael was the father of Methushael and Methushael was the father of Lamech.
4,19,Lamech married two women one named Adah and the other Zillah.
4,20,Adah gave birth to Jabal he was the father of those who live in tents and raise livestock.
4,21,His brother's name was Jubal he was the father of all who play stringed instruments and pipes.
4,22,Zillah also had a son Tubal-Cain who forged all kinds of tools out of bronze and iron. Tubal-Cain's sister was Naamah.
4,23,Lamech said to his wives Adah and Zillah listen to me wives of Lamech hear my words. I have killed a man for wounding me a young man for injuring me.
4,24,If Cain is avenged seven times then Lamech seventy-seven times.
4,25,Adam made love to his wife again and she gave birth to a son and named him Seth saying God has granted me another child in place of Abel since Cain killed him.
4,26,Seth also had a son and he named him Enosh. At that time people began to call on the name of the Lord.
5,1,This is the written account of Adam's family line. When God created mankind he made them in the likeness of God.
5,2,He created them male and female and blessed them. And he named them Mankind when they were created.
5,3,When Adam had lived 130 years he had a son in his own likeness in his own image and he named him Seth.
5,4,After Seth was born Adam lived 800 years and had other sons and daughters.
5,5,Altogether Adam lived a total of 930 years and then he died.
5,6,When Seth had lived 105 years he became the father of Enosh.
5,7,After he became the father of Enosh Seth lived 807 years and had other sons and daughters.
5,8,Altogether Seth lived a total of 912 years and then he died.
5,9,When Enosh had lived 90 years he became the father of Kenan.
5,10,After he became the father of Kenan Enosh lived 815 years and had other sons and daughters.
5,11,Altogether Enosh lived a total of 905 years and then he died.
5,12,When Kenan had lived 70 years he became the father of Mahalalel.
5,13,After he became the father of Mahalalel Kenan lived 840 years and had other sons and daughters.
5,14,Altogether Kenan lived a total of 910 years and then he died.
5,15,When Mahalalel had lived 65 years he became the father of Jared.
5,16,After he became the father of Jared Mahalalel lived 830 years and had other sons and daughters.
5,17,Altogether Mahalalel lived a total of 895 years and then he died.
5,18,When Jared had lived 162 years he became the father of Enoch.
5,19,After he became the father of Enoch Jared lived 800 years and had other sons and daughters.
5,20,Altogether Jared lived a total of 962 years and then he died.
5,21,When Enoch had lived 65 years he became the father of Methuselah.
5,22,After he became the father of Methuselah Enoch walked faithfully with God 300 years and had other sons and daughters.
5,23,Altogether Enoch lived a total of 365 years.
5,24,Enoch walked faithfully with God and then he was no more because God took him away.
5,25,When Methuselah had lived 187 years he became the father of Lamech.
5,26,After he became the father of Lamech Methuselah lived 782 years and had other sons and daughters.
5,27,Altogether Methuselah lived a total of 969 years and then he died.
5,28,When Lamech had lived 182 years he had a son.
5,29,He named him Noah and said He will comfort us in the labor and painful toil of our hands caused by the ground the Lord has cursed.
5,30,After Noah was born Lamech lived 595 years and had other sons and daughters.
5,31,Altogether Lamech lived a total of 777 years and then he died.
5,32,After Noah was 500 years old he became the father of Shem Ham and Japheth.
